ID,Reference,Title,Year
C1,"(Garnett, Cohen, Pe’er, Lahav & Levi, 2019).",3d-lanenet: end-to-end 3d multiple lane detection,2019
C2,"(Getahun, Karimoddini & Mudalige, 2021).",a deep learning approach for lane detection,2021
C3,"(Al Mamun, Em, Hossen, Jahan & Tahabilder, 2023).",a deep learning approach for lane marking detection applying encode-decode instant segmentation network,2023
C4,"(Oğuz, Küçükmanisa, Duvar & Urhan, 2022).",a deep learning based fast lane detection approach *,2022
C5,"(Yousri, Elattar & Darweesh, 2021).",a deep learning-based benchmarking framework for lane segmentation in the complex and dynamic road scenes,2021
C6,"(Li, 2023).",a deeplabv3+-based investigation on lane line detection,2023
C7,"(Zhu, Yin & Wang, 2019).",a faster semantic segmentation method for lane detection,2019
C8,"(Dong, Patil, Van Arem & Farah, 2023).",a hybrid spatial-temporal deep learning architecture for lane detection,2023
C9,"(Li, Qu, Liu, Sun & Wang, 2020).",a lane detection network based on ibn and attention,2020
C10,"(Fallah, Soleymani & Khosravi, 2022).",a method for automatic lane detection using a deep network,2022
C11,"(Lu, Tan & Ding, 2020).",a modular lane detection method based on scene understanding,2020
C12,"(Zhang, Han, Wang, Qiao & Lin, 2021).",a network that balances accuracy and efficiency for lane detection,2021
C13,"(Yousri, Moussa, Elattar, Madian & Darweesh, 2024).",a novel data augmentation approach for ego-lane detection enhancement,2024
C14,"(Bataineh, 2023).",a novel ego lanes detection method for autonomous vehicles,2023
C15,"(Zou et al., 2022).",a novel multimodal fusion network based on a joint coding model for lane line segmentation,2022
C16,"(Zheng, Xie, Li, Xie & Li, 2022).",a novel strategy for global lane detection based on key-point regression and multi-scale feature fusion,2022
C17,"(Yousri, Mostafa, et al., 2021).",a real-time approach based on deep learning for ego-lane detection,2021
C18,"(Yusuf, Karim & Saif, 2020).",a robust method for lane detection under adverse weather and illumination conditions using convolutional neural network,2020
C19,"(Sun, Wang, Chen & Liu, 2019).",accurate lane detection with atrous convolution and spatial pyramid pooling for autonomous driving,2019
C20,"(Peng, Wang, Liu & Yang, 2021).",active learning for lane detection: a knowledge distillation approach,2021
C21,"(Ren, Zhou, Yang, Liu & He, 2022).",adpnet: attention based dual path network for lane detection,2022
C22,"(Himakumar et al., 2023).",an autonomous driving system for image based lane segmentation,2023
C23,"(Guo, Shi & Qin, 2021).",an effective module ca-hdc for lane detection in complicated environment,2021
C24,"(Al Mamun, Em & Hossen, 2021).",an efficient encode-decode deep learning network for lane markings instant segmentation,2021
C25,"(Wang, Zhang & Zhu, 2020).",an improved algorithm for instance segmentation lane detection of two branches,2020
C26,"(Rassabin, Yagfarov & Gafurov, 2019).",approaches for road lane detection,2019
C27,"(Xiao, Yang, Li & Islam, 2020).",attention deep neural network for lane marking detection,2020
C28,"(Alajlan & Almasri, 2022).",automatic lane marking prediction using convolutional neural network and s-shaped binary butterfly optimization,2022
C29,"(Liu, Deng, Lei, Jiang & Piao, 2021).","autonomous lane keeping system: lane detection, tracking and control on embedded system",2021
C30,"(Yang, Shen et al., 2023).",canet: curved guide line network with adaptive decoder for lane detection,2023
C31,"(Zheng, Huang et al., 2022).",clrnet: cross layer refinement network for lane detection,2022
C32,"(Liu, Chen, Zhu & Tan, 2021).",condlanenet: a top-to-down lane detection framework based on conditional convolution,2021
C33,"(Soni, Padamwar & Konda, 2021).",contextual road lane and symbol generation for autonomous driving,2021
C34,"(Ganeriwala, Bhattacharyya & Muthalagu, 2023).",cross dataset analysis and network architecture repair for autonomous car lane detection,2023
C35,"(Bai et al., 2023).",curveformer: 3d lane detection by curve propagation with curve queries and attention,2023
C36,"(Nguyen, 2023).",deep feature fusion network for lane line segmentation in urban traffic scenes,2023
C37,"(Kaushal et al., 2023).",deep learning based segmentation approach for automatic lane detection in autonomous vehicle,2023
C38,"(Zhao, Wang & Li, 2020).",deep reinforcement learning based lane detection and localization,2020
C39,"(Arfian, Azis, Nazaruddin & Nadhira, 2023).",development of lane marking detection and classification for perception system in autonomous vehicles,2023
C40,"(Yao, Wu, Wang & Ding, 2022).",devnet: deviation aware network for lane detection,2022
C41,"(Cheng, Zhang, Wang & Zhou, 2022).",DILane: dynamic instance-aware network for lane detection,2022
C42,"(Qian, Dolan & Yang, 2019).","dlt-net: joint detection of drivable areas, lane lines, and traffic objects",2019
C43,"(Yang, Lin, Jiang, Lu & Wang, 2023).",dqformer: dynamic query transformer for lane detection,2023
C44,"(Zhang, Deng, Yan & Liu, 2021).",drstnet: a robust spatio-temporal network with dilated residual convolutions for lane detection,2021
C45,"(Ran, Yin, Huang & Bao, 2022).",eafmnet: an efficient attention fusion mechanism for lane detection,2022
C46,"(Jhong, Ko, Su, Hua & Chen, 2023).",efficient lane detection based on feature aggregation for advanced driver assistance systems,2023
C47,"(Yao & Chen, 2022).",efficient lane detection technique based on lightweight attention deep neural network,2022
C48,"(Li, Wu & Wu, 2023).",efficient multi-lane detection based on large-kernel convolution and location,2023
C49,"(Ghafoorian, Nugteren, Baka, Booij & Hofmann, 2018).",el-gan: embedding loss driven generative adversarial networks for lane detection,2018
C50,"(Lee & Liu, 2023).",end-to-end deep learning of lane detection and path prediction for real-time autonomous driving,2023
C51,"(Van Gansbeke, De Brabandere, Neven, Proesmans & Van Gool, 2019).",end-to-end lane detection through differentiable least-squares fitting,2019
C52,"(Kumar, Pandey & Varshney, 2024).",exploring the impact of deep learning models on lane detection through semantic segmentation,2024
C53,"(Zeng et al., 2023).",fast lane detection based on attention mechanism,2023
C54,"(Liu, Huang, Yan & Chen, 2023).",fast lane detection based on sparse prediction,2023
C55,"(Tan, Li & Yan, 2023).",fast lane detection for extracting spatial location information,2023
C56,"(Kim, Kim, Jang & Lee, 2017).",fast learning method for convolutional neural networks using extreme learning machine and its application to lane detection,2017
C57,"(Pang, Zhang, Teng, Ma & Fan, 2022).",fast-hbnet: hybrid branch network for fast lane detection,2022
